"city","sex","educ_level","job_type","happiness","age","seniority","sick_leave","sick_leave_b","work_hours","Cho_initial","Cho_final"
"Barcelona","M","N","C",7.23,45,27,0,"F",35.4,1.15,1.33
"Barcelona","M","N","C",5.93,36,18,0,"F",41.3,1.05,1.1
"Barcelona","M","N","C",6.95,34,16,0,"F",36.6,1.15,1.25
"Barcelona","M","N","C",6.33,37,19,0,"F",40.5,1.15,1.21
"Barcelona","M","N","C",8.93,35,17,0,"F",36,1.15,1.31
"Barcelona","M","N","C",7.23,29,11,6,"T",32.2,1.05,1.18
"Barcelona","M","N","C",6.11,26,8,0,"F",36.6,1.15,1.2
"Barcelona","M","N","C",9.23,44,26,0,"F",35.5,1.15,1.28
"Barcelona","M","N","C",7.63,23,5,24,"T",36.3,1.15,1.33
"Barcelona","M","N","C",5.73,46,28,36,"T",34.1,1.15,1.21
"Barcelona","M","N","C",5.03,35,17,0,"F",37.8,1.15,1.23
"Barcelona","M","N","C",6.23,31,13,0,"F",38.1,1.15,1.26
"Barcelona","M","N","C",6.13,35,17,0,"F",35.6,1.15,1.2
"Barcelona","M","N","C",7.63,24,6,0,"F",38,1.15,1.26
"Barcelona","M","N","C",7.53,28,10,0,"F",36.5,1.15,1.24
"Barcelona","M","N","C",6.33,37,19,0,"F",39,1.15,1.31
"Barcelona","M","N","C",5.33,26,8,0,"F",37.3,1.15,1.28
"Barcelona","M","N","C",7.33,20,2,0,"F",41.3,1.15,1.18
"Barcelona","M","N","C",8.23,25,7,0,"F",43.5,1.15,1.23
"Barcelona","M","N","C",6.93,35,17,1,"T",33.8,1.15,1.22
"Barcelona","M","N","C",5.33,39,21,0,"F",37.9,1.25,1.36
"Barcelona","M","N","C",7.73,36,18,0,"F",39.1,1.15,1.22
"Barcelona","M","N","C",6.23,44,26,0,"F",38.9,1.05,1.18
"Barcelona","M","N","C",6.43,40,22,0,"F",42.4,1.05,1.22
"Barcelona","M","N","C",6.83,36,18,0,"F",77,1.25,1.33
"Barcelona","M","N","C",5.73,39,21,23,"T",37.6,1.15,1.29
"Barcelona","M","N","C",6.23,58,40,0,"F",33.7,1.25,1.42
"Barcelona","M","N","C",7.03,50,32,0,"F",38,1.15,1.34
"Barcelona","M","N","C",7.43,48,30,0,"F",45.4,1.15,1.24
"Barcelona","M","N","C",5.53,45,27,0,"F",35,1.05,1.18
"Barcelona","M","N","C",5.23,28,10,0,"F",31,1.15,1.21
"Barcelona","M","N","C",6.33,61,43,0,"F",32.3,1.05,1.12
"Barcelona","M","N","C",4.93,46,28,0,"F",36.1,1.15,1.27
"Barcelona","M","N","C",2.93,46,28,0,"F",38.7,1.15,1.28
"Barcelona","M","N","C",4.83,36,18,0,"F",36.4,1.15,1.2
"Barcelona","M","N","C",5.23,43,25,0,"F",32,1.15,1.24
"Barcelona","M","N","C",8.13,39,21,0,"F",36,1.15,1.22
"Barcelona","M","N","C",7.43,54,36,0,"F",36.3,1.25,1.35
"Barcelona","M","N","C",7.53,44,26,0,"F",38.6,1.05,1.17
"Barcelona","M","N","C",4.93,30,12,0,"F",35.7,1.15,1.27
"Barcelona","M","N","PC",4.83,40,22,0,"F",38.6,1.25,1.38
"Barcelona","M","N","PC",7.33,42,24,0,"F",37.6,1.25,1.4
"Barcelona","M","N","PC",6.33,39,21,9,"T",40.9,1.25,1.44
"Barcelona","M","N","PC",5.03,26,8,53,"T",39.6,1.15,1.3
"Barcelona","M","N","PC",6.33,51,33,42,"T",43.7,1.25,1.39
"Barcelona","M","N","PC",5.53,33,15,14,"T",40,1.25,1.4
"Barcelona","M","N","PC",4.93,31,13,0,"F",40.1,1.25,1.42
"Barcelona","M","N","PC",6.03,47,29,0,"F",30.3,1.15,1.4
"Barcelona","M","N","PC",7.43,54,36,0,"F",35.5,1.25,1.46
"Barcelona","M","N","PC",4.63,46,28,0,"F",41.3,1.35,1.59
"Barcelona","M","N","PC",4.03,46,28,27,"T",41.9,1.35,1.56
"Barcelona","M","N","PC",5.53,43,25,0,"F",39.5,1.25,1.51
"Barcelona","M","N","PC",6.53,48,30,0,"F",38.6,1.35,1.55
"Barcelona","M","N","PC",7.93,36,18,50,"T",33.4,1.25,1.44
"Barcelona","M","N","PC",5.28,48,30,0,"F",39.7,1.25,1.56
"Barcelona","M","N","PC",5.73,46,28,0,"F",36.4,1.25,1.57
"Barcelona","M","N","PC",4.83,42,24,0,"F",36.1,1.25,1.49
"Barcelona","M","N","PC",4.33,48,30,26,"T",36.5,1.25,1.39
"Barcelona","M","N","PC",5.83,32,14,0,"F",39.9,1.25,1.43
"Barcelona","M","N","PC",6.03,39,21,3,"T",46.3,1.25,1.49
"Barcelona","M","N","PC",5.33,42,24,0,"F",35.5,1.25,1.41
"Barcelona","M","N","PC",6.53,39,21,18,"T",43.3,1.15,1.41
"Barcelona","M","N","PC",6.23,39,21,0,"F",45.6,1.25,1.45
"Barcelona","M","N","PC",5.13,35,17,0,"F",36.2,1.25,1.46
"Barcelona","M","N","PC",6.83,34,16,0,"F",36.3,1.25,1.38
"Barcelona","M","N","PC",5.38,30,12,0,"F",39.5,1.25,1.43
"Barcelona","M","N","PC",5.93,50,32,0,"F",40.1,1.35,1.53
"Barcelona","M","N","PC",6.13,44,26,0,"F",38.1,1.25,1.57
"Barcelona","M","N","PC",5.53,40,22,0,"F",38.8,1.25,1.46
"Barcelona","M","N","PC",5.23,36,18,0,"F",37.1,1.25,1.49
"Barcelona","M","N","PC",7.73,50,32,16,"T",42.7,1.25,1.47
"Barcelona","M","N","PC",6.83,24,6,0,"F",40.6,1.25,1.49
"Barcelona","M","N","PC",3.93,21,3,0,"F",44.5,1.25,1.54
"Barcelona","M","N","PC",6.63,55,37,0,"F",46.3,1.25,1.46
"Barcelona","M","N","PC",4.43,42,24,0,"F",45,1.25,1.41
"Barcelona","M","N","PC",5.88,35,17,0,"F",38.6,1.35,1.53
"Barcelona","M","N","PC",5.23,52,34,0,"F",41.8,1.15,1.36
"Barcelona","M","N","PC",6.23,57,39,0,"F",39.2,1.25,1.48
"Barcelona","M","N","PC",4.23,41,23,0,"F",48,1.15,1.26
"Barcelona","M","N","PC",3.33,48,30,0,"F",36.8,1.25,1.46
"Barcelona","M","P","C",7.53,49,31,0,"F",36.1,1.15,1.33
"Barcelona","M","P","C",5.33,59,41,0,"F",32.2,1.15,1.2
"Barcelona","M","P","C",4.23,55,37,0,"F",37.1,1.05,1.17
"Barcelona","M","P","C",6.73,36,18,0,"F",29.2,1.15,1.33
"Barcelona","M","P","C",4.83,30,12,10,"T",42.1,1.15,1.26
"Barcelona","M","P","C",6.23,43,25,48,"T",34,1.15,1.25
