"city","sex","educ_level","job_type","happiness","age","seniority","sick_leave","sick_leave_b","work_hours","Cho_initial","Cho_final"
"  Barcelona   ","m",1,1,"7.23",45,23,0,0,35.4001880987665,1.15,1.33
"barcelona   ","M",1,1,"5.93",36,19,0,0,41.3001740639419,1.05,1.1
"barcelona   ","M",1,1,NA,34,18,0,0,36.6000220862908,1.15,1.25
"Barcelona","M",1,1,"6.33",37,18,0,0,40.5001930077413,1.15,1.21
"Barcelona","  M",1,1,"8.93",35,19,0,0,36.0000377440853,1.15,1.31
"  Barcelona","M",1,1,"7.23",29,14,6,1,32.2001036330081,1.05,1.18
"Barcelona","  M   ",1,1,NA,26,13,0,0,36.6000078890146,1.15,1.2
"Barcelona   ","M",1,1,"9.23",44,23,0,0,35.5001348683213,1.15,1.28
"Barcelona   ","  M   ",1,1,"7.63",23,12,24,1,36.3000684217224,1.15,1.33
"Barcelona","M",1,1,"5.73",46,22,36,1,34.1001931585385,1.15,1.21
"Barcelona","M",1,1,"5.03",35,19,0,0,37.8001706502408,1.15,1.23
"barcelona","M",1,1,NA,31,17,0,0,38.1001212011718,1.15,1.26
"Barcelona   ","M   ",1,1,"6.13",35,19,0,0,35.6001945581747,1.15,1.2
"Barcelona","  M",1,1,"7.63",24,13,0,0,38.0001691938657,1.15,1.26
"barcelona","M   ",1,1,"7.53",28,14,0,0,36.5001212117291,1.15,1.24
"barcelona","  M",1,1,"6.33",37,19,0,0,39.0001976945919,1.15,1.31
"Barcelona","M",1,1,"5.33",26,12,0,0,37.3001053546998,1.15,1.28
"Barcelona","  m",1,1,"7.33",20,10,0,0,41.3001317718235,1.15,1.18
"Barcelona   ","M",1,1,"8.23",25,0,0,0,43.500003507621,1.15,1.23
"barcelona","M   ",1,1,"6.93",35,16,1,1,33.8000431217018,1.15,1.22
"  barcelona   ","  M",1,1,"5.33",39,21,0,0,37.9001431454697,1.25,1.36
"  Barcelona","  M",1,1,"7.73",36,19,0,0,39.1000266016557,1.15,1.22
"Barcelona","M   ",1,1,"6.23",44,23,0,0,38.9000749103419,1.05,1.18
"  Barcelona","M",1,1,"6.43",40,22,0,0,42.4000542017405,1.05,1.22
"Barcelona","  m",1,1,"6.83",36,17,0,0,77,1.25,1.33
"  Barcelona","M",1,1,"5,73",39,19,23,1,37.6001446525441,1.15,1.29
"  barcelona","M",1,1,"6.23",58,31,0,0,33.70011601999,1.25,1.42
"  Barcelona   ","  m",1,1,"7.03",50,24,0,0,38.0001511996335,1.15,1.34
"Barcelona","  m",1,1,"7.43",48,23,0,0,45.4001088715173,1.15,1.24
"Barcelona   ","M",1,1,"5.53",45,23,0,0,35.0001945540982,1.05,1.18
"Barcelona   ","M",1,1,"5.23",28,16,0,0,-31.0000407277748,1.15,1.21
"barcelona","M",1,1,"6.33",61,29,0,0,32.3000882750484,1.05,1.12
"barcelona   ","  m   ",1,1,"4.93",46,24,0,0,36.1001851580909,1.15,1.27
"Barcelona   ","M",1,1,"2.93",46,25,0,0,38.7001358707942,1.15,1.28
"barcelona","M",1,1,"4.83",36,19,0,0,36.4000090694488,1.15,1.2
"Barcelona   ","  m",1,1,"5.23",43,21,0,0,32.0001823569281,1.15,1.24
"barcelona","  M   ",1,1,"8.13",39,21,0,0,36.0000948052007,1.15,1.22
"barcelona","M",1,1,"7.43",54,28,0,0,36.3000757839748,1.25,1.35
"Barcelona   ","M",1,1,"7.53",44,22,0,0,38.6001286635995,1.05,1.17
"Barcelona","m",1,1,"4.93",30,17,0,0,35.7000801060236,1.15,1.27
"Barcelona   ","  M   ",1,2,"4.83",40,20,0,0,38.6000298596243,1.25,1.38
"  Barcelona   ","M   ",1,2,"7.33",42,23,0,0,-37.6001356593938,1.25,1.4
"barcelona","M",1,2,"6.33",39,18,9,1,40.9000509418227,1.25,1.44
"Barcelona","M",1,2,"5.03",26,12,53,1,-39.6001929639381,1.15,1.3
"  Barcelona","m",1,2,"6.33",51,27,42,1,43.7001125922275,1.25,1.39
"Barcelona   ","  M   ",1,2,"5.53",33,17,14,1,40.0000491406383,1.25,1.4
"  Barcelona","m   ",1,2,"4.93",31,17,0,0,40.1000946047996,1.25,1.42
"Barcelona","  M",1,2,"6.03",47,24,0,0,30.3001322573284,1.15,1.4
"Barcelona","  M",1,2,"7.43",54,29,0,0,35.5001892581847,1.25,1.46
"barcelona   ","  M",1,2,"4.63",46,24,0,0,-41.300016540204,1.35,1.59
"barcelona","  m",1,2,"4.03",46,23,27,1,-41.9000632586908,1.35,1.56
"Barcelona","  m",1,2,"5.53",43,21,0,0,39.5000026363836,1.25,1.51
"Barcelona","m",1,2,"6.53",48,24,0,0,38.6000223570118,1.35,1.55
"Barcelona","M   ",1,2,"7.93",36,18,50,1,33.4001211095899,1.25,1.44
"Barcelona","  M",1,2,NA,48,25,0,0,-39.7001202477119,1.25,1.56
"Barcelona","m",1,2,"5.73",46,21,0,0,-36.4001320206371,1.25,1.57
"Barcelona","  M",1,2,"4.83",42,21,0,0,36.1001061566352,1.25,1.49
"  Barcelona","m",1,2,"4.33",48,25,26,1,36.5000129052693,1.25,1.39
"  Barcelona","M",1,2,"5.83",32,15,0,0,39.9001363109697,1.25,1.43
"Barcelona","  M",1,2,"6.03",39,18,3,1,46.3000762898499,1.25,1.49
"Barcelona","M",1,2,"5.33",42,19,0,0,35.5001857815522,1.25,1.41
"  Barcelona","M   ",1,2,"6.53",39,19,18,1,43.3000940411474,1.15,1.41
"  Barcelona","  M",1,2,"6.23",39,20,0,0,45.6001006620608,1.25,1.45
"barcelona","M",1,2,"5.13",35,17,0,0,36.2000813678566,1.25,1.46
"Barcelona","  M",1,2,"6.83",34,19,0,0,36.3000822027719,1.25,1.38
"barcelona","  M",1,2,NA,30,15,0,0,39.5001658920398,1.25,1.43
"Barcelona   ","  M   ",1,2,"5.93",50,25,0,0,40.1001739422128,1.35,1.53
"  Barcelona","M",1,2,"6.13",44,22,0,0,-38.1000264714171,1.25,1.57
"barcelona","  M",1,2,"5.53",40,21,0,0,38.8000645997187,1.25,1.46
"Barcelona   ","m   ",1,2,"5.23",36,17,0,0,37.1000296575026,1.25,1.49
"Barcelona","M",1,2,"7.73",50,26,16,1,42.7000666869354,1.25,1.47
"Barcelona","m",1,2,"6.83",24,13,0,0,40.6000363094079,1.25,1.49
"  Barcelona   ","M",1,2,"3.93",21,11,0,0,44.5000936102499,1.25,1.54
"barcelona","m",1,2,"6.63",55,28,0,0,46.3001538293759,1.25,1.46
"Barcelona","  M",1,2,"4.43",42,19,0,0,45.0001087446428,1.25,1.41
"Barcelona","M",1,2,NA,35,16,0,0,38.600075711233,1.35,1.53
"  Barcelona   ","M",1,2,"5.23",52,25,0,0,41.8000696389715,1.15,1.36
"  Barcelona","M",1,2,"6.23",57,30,0,0,39.2001493934914,1.25,1.48
"  Barcelona","M",1,2,"4.23",41,22,0,0,48.000015356215,1.15,1.26
"Barcelona","M   ",1,2,"3.33",48,26,0,0,36.8000650888824,1.25,1.46
"barcelona   ","M   ",2,1,"7.53",49,25,0,0,36.1000495810417,1.15,1.33
"  Barcelona","M   ",2,1,"5.33",59,29,0,0,32.2001790125653,1.15,1.2
"  barcelona","m",2,1,"4.23",55,27,0,0,37.1000244007844,1.05,1.17
"Barcelona","  M",2,1,"6.73",36,17,0,0,29.200147854705,1.15,1.33
"  Barcelona","M",2,1,"4.83",30,15,10,1,42.1001590724047,1.15,1.26
"Barcelona","m",2,1,"6.23",43,20,48,1,34.0000064030254,1.15,1.25
"barcelona","m",2,1,"7.13",57,28,0,0,33.1000737853591,1.05,1.09
"  Barcelona   ","m   ",2,1,"6.63",62,32,32,1,35.4000834722216,1.15,1.24
"  Barcelona","  m",2,1,"6.73",42,21,0,0,33.6001848063192,1.15,1.27
"Barcelona","m",2,1,"5.83",30,17,0,0,42.6000658861152,1.15,1.27
"  Barcelona","M   ",2,1,"5.53",48,24,0,0,35.300015351503,1.15,1.21
